Document_ID,clean_text,Sentiment
107,film stephen king story directed frank darabont starring tim robbins wasnt guy howard duck admit sublime acting talent morgan freeman took along see movie question ask didnt everybody go see movie didnt morgan freeman win oscar tom hank fine actor never beaten morgan stephen king short story translates film better horror opus tim robbins pull finest performance date mr darabont take bow rarely left large smile warm heart end movie could danced camera slowly panned back beach perfect,Positive
108,shawshank redemption kind morality tale definitely one stephen king restrained kind story dealing mostly character study two individual sharing imprisonment consequence await tale endstim robbins man wrongly convicted murder serving long prison term morgan freeman play narrator great dignity describes guilty man shawshank hardship prison life captured brief scene make viewer wish robbins find way escape along way gang raped prisoner treated harshly brutal warden spirit seems vanish robbins quietly effective prisoner make good adjustment take charge prison library see there wider selection book kind potboiler king noted writing touch irony closing scene bit stretch reminder wrote prison talebut still make impact happens beforeits bittersweet story sort horrific fairytale might happened viewer caught story tremendously skillful storytelling magic stephen king director frank darabont also wrote screenplay,Positive
109,top film hope good never dy ðÿœ²ðÿœ²ðÿœ²,Positive
110,ten year watched movie wanted see whether thought change ten year ago understand movie top still think even top movie nothing special year passing like moment could feel pain hope one scene want something bum happening one scene situation bad guess happens second good never go top movie suggestion better watch movie without number expectation best coutes remind bird arent meant caged red,Positive
111,written review imdb shawshank one favorite movie time dont necessarily think movie easy giving negative review read saying gave movie others given far im concerned mine give want give every movie way dont sick people telling movie cant great story driven character driven maybe like story driven movie certainly liked one here another movie snob eradicate,Positive
112,watched film thought whats going like watching thought brilliant filmfantastically acted great like morgan freeman tim robbins bob gunton realistic definitely one absolute favourite time end made cry thought life every time watch film brings tear eye fantastic film worth watchingits really realistic film another one stephen king great story story hope many people watched say thing havent seen film already watch brilliant brilliantbe prepared moved breathtaking journey whole two hour truly lovely magical film favourite time fantastic,Positive
113,truly masterpiece cinema hope film get critical recognition deserves year go almost everyone encountered loved film win oscar galore tim robin morgan freeman simply perfect essentially love story love hope love friendship love life matter constraint love film,Positive
114,hope good thing maybe best thingsaid andyive told couple time movie mustwatch die movie almost actor prison bit masculine yet occasionally read wikipedia also saw netflix chance gave goon ground personal experience could feel andy feel movie persisting faith oneself life even serving lifetime sentenceget busy livin get busy dyin best quote search powerhouse movie would choicei hong kong would also recommend greed man hong kong drama itaewon class south korea drama male lead achieved lifetime goal spending long enough time like andy know fiction learn message,Positive
115,shawshank redemption well made engaging comprehensive filmits escape film without action thrill suspense even though aware he digging screen collective story memorable moment character good performance solid though demanding lot narration brook part really evoking perhaps bit playing record tone harsh setting inner worry satisfaction andy must feel warden guard cell next poster give weight record scene work couldve nothing took away everything though knowing didnt find perhaps kept sanity isolation,Positive
116,almost interesting tale men behind bar enduring popularity enjoyed since released video following poor box office reason fairly clear see dark setting film hope hope set free hope feel imprisoned â whether deadend job loveless relationship outofshape body â hope thing somehow improve even unlike andy dufresne precious little help thing along keep u going shawshank redemption validates blind irrational hope simultaneously reinforcing film strength us good advantage tim robbins morgan freeman make believable unlikely friend â beginning friendship one lack hope kind unable express feeling flaw later realises indirectly reason find behind bar end film changed â releasedthe film make use every genre clichã think sadistic guard corrupt warden â fifty year ago hollywood warden mostly beneficial character seem lost way lately â bull queer fish water chance survival etc although isnt necessarily weakness familiarity mean overlong running time drag occasion faced familiar situation malevolent prisoner present form bull queer wander around looking fresh fish vulnerable inmate rape prisoner kind homogeneous mass decent enough bunch unique characteristic malice resentment towards society effectively discarded themthe irony film good guy one behind bar â dufresne wryly comment come prison become criminal â ostensibly representing justice law violent braggart biblebashing hypocrite comeuppance finally arrives wholly deserved film engineer turning table wholly complete one engineered dufresne â another reason phenomenal popularity know known someone like warden although perhaps extreme smug selfserving deserves comeuppancedarabont wanted film end red giving little hope bit bus he travelling disappears horizon shame studio didnt let way ending beach look exactly like â tacked ending keep men suit happy andy dufresne uncompromising sense purpose would surely held firm pressure,Neutral
117,shawshank redemption dir frank darbont cast tim robbins morgan freeman james whitmore bob gunton william sadler gripping film finding refuge place despair tim robbins play banker andy dufresne convicted murdering wife lover verdict issue rather familiarizing routine life within prison wall face trial violent leering inmate form bond elli boyd red redding played morgan freeman redding get thing price soon andy item smuggled cell andy find favor banking come play tax corrupt christian warden guard andy able improve library discovers scheme warden leaf device proof innocence sabotaged director frank darabont paint grim depressing portrait prison populates personality struggling exist within robbins best victim adapting improving circumstance intelligence win freeman great humble resourceful redding james whitmore play aged librarian brook whose release lead question regarding freedom verse existence bob gunton effective ruthless warden redemption freedom mind soul whether prison opportunity score,Neutral
118,frank darabont directed superb adaptation stephen king novella star tim robbins andy dufresne young banker wrongfully convicted murder wife boyfriend upon arrival shawshank prison maine keep mostly causing trouble though befriend longtime inmate red reddingplayed morgan freeman teach rope prison life though unwanted attention degenerate inmate push poor andy edge despair financial skill banker prove useful corrupt captain guardsplayed clancy brown corrupt wardenplayed bob gunton andy hit upon clever escape plan legendary film sits atop imdb best film list indeed worthy filmthough pick still done remarkable skill every filmmaking level could viewed allegory christianity indeed uplifting story friendship human spirit supporting charactersexcept one played james whitmore arent appealing arent intended either perfect ending well,Positive
119,could describe shawshank redemption number way engrossing drama riveting character study topshelf prison movie nothing shining example power indomitable human spirit root andy dufresne beginning man unfairly targeted fate want desperately succeed somehow mixed wellwritten story friendship even little bit revenge sweeten deal stephen king story classic faithful screen adaptationand cast impeccable,Neutral
120,film freedom story scene prison force grace precise creation freedom actor director idea dialog whole script special emotion viewer rare film represents brilliant acting smart script homage basic value eulogy friendship representation form revolution considered fruit different religious perception seems perfect key goodinteresting film extraordinary cinema lesson red rita hayworth poster andy dufresne first sigh,Positive
121,always careful getting carried away watching great film calling best talking league godfather casablanca good bad ugly angry men always called one best never believed best ever existed cant right anything best perfect definitely perfect film there got something wrong somewhere need look close enoughbut wrong although knew way right first time watched shawshank redemption hbo year ago waited year thorough viewing sceptical review wrote final judgment film best film ever made spotless true classic even directed acted legend know today sure true legend frank dorabont tim robbins morgan freeman amazing crew something extra special created best work cinema ever almost none legend working film need description ten ten every department film making full incredible moment beauty class intellect almost every scene need know film status imdb decade actually believe power genius work art best one film reaffirmed faith hope human perseverance friendship im sure many believe isnt great glad think otherwise believe great feeling found best film huge film lover time ever would imdb elsewhere,Positive
122,based rating user see film rated number imdba film andy dufresne tim robbins claim falsely imprisoned decides adjust life incarcerated befriends number fellow inmate including elli boyd redding morgan freeman andy establishes respect among cohort even prison guard number thing improving life prison including expanding library helping people tax men friendship grow year try find imdb plot put solace eventual redemption act common decency movie longer side two hour long however many element film drag making movie intriguing exciting feature plot subplots solid blending together well cast character gave strong dramatic memorable performance action humor drama tragedy hope mixed providing entertaining filmthere far many aspect film mentioned review therefore see follow movie appreciate certainly worthy seven oscar nomination including best picture forrest gump year mustsee anybodygrade,Positive
123,greeting lithuaniait hard call shawshank redemption masterpiece definitely one inspiring beautifully crafted picture time said wont going detail plot everything movie well known simply put story two men prison sentenced life time journey redemption seeing movie time life say time pass kinda feel need rewatch movie like journey character drawn sharply care outcome one powerful hope inspiring brake every single time watching sequence brook get prison whole sequence living free powerful film making say leastoverall imdb top say lot movie stay inspires lose hope flawlessly paced running time h min never drag studied film making university create film woman character action take place inside prison isnt mainstream action good thing never get old shawshank redemption one fainest example,Positive
124,best jailhouse movie time right next green milewhat another classic collectible seen film one dvd collection film pas younger generation inspire filmmaking donean star cast outstanding performance directingif dont add collectiona perfect well deserves,Positive
125,shawshank redemption short asked student favorite movie many said shawshank redemption said havent even seen assigned homework started watching twenty minute realized fact seen beforethats memorable mei also see shawshank highest user rating film imdb intelligent movieloving people see dont wish could know cant except reading comment finally minefirst dont think terrible film despite picking im trying analytical take one aspect think independently compare movie like start look weak specific reason good know please dont read want confirmation great film brief dont think shawshank probe invents seduces aesthetically nice story well toldfirst story stephen king successful writer say least really good wordsmith story work simple conflict plot drivenone thing happens another thing happens third thing almost necessary happen twist turn always tell nice wrap thats pretty much plot shawshank almost depth charactersthey stereotype made foamcore maybe flimsy evil warden course thoughtful black man everyone like played morgan freeman narrates thoughtful white man doesnt like anyone first played tim robbinsof course go really twist old one plot framework something found irritating slightly glib tone story really realistic sense though trapping actual prison life rape back room corruption front office maybe fable get away airiness right final happy ending might need grounding reality fable would naturally avoid complexity even anything independently interesting mean maybe journey familiar clichés done fuzzy congenial ease selfsatisfying purpose therefore shawshank redemption heartwarming enjoyable use two word exciting together milk warmbut breezy tone made unwatchable fastforward part second half second time seeing seemed nothing happening nothing hadnt seen movie struck mythic spiritual word people use false antimeaningful obvious familiar comfortingthe filmmaking let tick basic editing conventional downright slow argue pace leisurely luxurious draw viewer say drawn sluggishmusic functional familiar movie music pure simple lush seduction offputting pay attention directlyscript hmmmm writing distracting bad especially thats hardly recommendation get information across really read line repeat scene loud famous line everyone innocent movie doesnt crackleeven hollywood heartwarmers like die hard inventiveness isnt shawshank presenting hallmark sentimentsacting exactly film needed pace intention faulting freeman robbins therephotography professional movie cry great filming one great interior exploit good night scene camera work functional moment higher drama prisoner getting shot escape sequence look often scene filmed nicely enjoy maybe idea caressed assaultedits action adventure film dont expect shocked direction finally lynchpin person need accountable oh im sure frank darabont doesnt mind cult status movie probably know auteur rather rode coattail lot talented craftspeople around people count ask deliver something originality beauty surprise depth compactness shawshank shame obviously many people love really really love didnt care well known film either green mile want two hour absorptionbut brings back started realize kind viewer movie match one didnt go place need great movie go bad movie fact might classic example movie much sum part still even whole strike flip easybreezy obvious child lie content superficial personally,Positive
126,rented movie doubtful whether rent started watching st moment kinda sure wud worthy watching worthy fascinating performance morgan freeman tim robbins direction everything put place actor making feel way felt movie doesnt dirty romance impossible action rather focus greater philosophy hope live hope survival one movie leave talking even many day watching wont say anymore rest upto find see movie,Neutral
127,never heard film one day searching local dvd store year found brand new special twodisc collector edition title attracted browsed internet buying disc blown away response film got instantly brought dvd sadly couldnt watch long today finally decided watch time ended happiness watching heart wrenching drama smile facethe shawshank redemption truly timeless masterpiece old film matter many time watch youre gon na love emotional inspiring prison drama worth watching one despite content rating film written directed masterfully frank darabont also stellar performance coming tim robbins morgan freeman believe two make best buddy ive ever seen film till datesr pure drama crime element thrown doesnt fail impress entertain even surprise time end make sure get inspired moved message delivers perfection another great thing romance hinder story heartwarming effective unforgettable character drama make unable get seat till endsome think overrated honestly isnt film anyone like movie especially drama easily appreciate liked see tim morgan frame whenever come together there something wonderful going happen dialogue brilliantly written lot line bound remembered forevertechnically film shine film set within prison couldve devoid visual excellence cinematographer totally nailed providing u clear vision director wanted u see entire duration minute felt different range emotion sadness happiness even anger time powerfulsaying anything would sound like understatement many others already praised film respective review totally appreciate sad great film wasnt commercial success real success lie memorable drama time really feel happy lucky brought dvd,Positive
128,good prison movie whose cult fan made something much greatest movie ever made get real even greatest prison movie ever made hell even best movie released predictable borrows heavily decade prison movie clichés also nowhere near deep staunchest admirer would believe still entertaining movie nice direction frank darabont morgan freeman highlight solid supporting cast tim robbins however borderline ridiculous time cartoonish facial expression silly staresoffintothedistance moment he far beneath freeman actor sad normal movie like would focus positive give unfortunately easily overrated movie time imdb sure balance positive negative whack,Positive
129,well say hasnt already said excellent film morgan freeman narrating exceptional tim robbins career defining role probably best prison film ever made,Positive
130,many case film history film terrific actor film great written shawshank redemption imdbs favorite film work case acting superb film incredibly well written justifiedtim robbins play andy dufrense banker accused murdering wife lover sent shawshank prison experience lot thing form bond redplayed terrificly morgan freeman wardenplayed bob gunton hate raped leading escape twenty yearsthe shawshank redemption based shot story stephen king one interesting film ever made ita also one best film ever made one way tell hear morgan freeman narration know youre good handsthe acting explosive everyone good job shawshank redemption little long length tolerable mainly opening scene film hooked morgan freeman give better performance two duo robbins freeman lifetimethe shawshank redemption oscar upset nominated seven including best picture best actormorgan freeman best writing lost best picture forrest gump also great movie year pulp fiction also another oscar upset prefer pulp fiction shawshank redemption still one best film ever madethe shawshank redemptiona,Positive
131,watched movie pas good time know sore wet eye end dont know movie end couldnt stop myselfandys portrayal tim robbins red morgan freeman absolutely greati like love andys philosophy hope good thing tried inculcate loved movie like whats ended fast didnt want end con neither wan na shown even guy prison also innocent prove innocence go length mean also got something heart spirit shown andy absolutely great show want something full heart finished itbut im sure gon na watch often going forget long length time,Positive
132,since bought lot year ago videotape two stephen king short film one woman room directed frank darabont strange sensation guy could well become one good director filming industry another king story managed one best film decade course help nonetheless mr freeman mr robbins could spoiled,Positive
133,deliberately might even say slowly place paced shawshank redemption alternate offering grittily realistic portrayal life prison flight fancy make story unbelievable really accepted interesting subplot doesnt take much movie make viewer ponder difficulty adjusting life real world extended period incarceration performance two lead excellent morgan freeman put usual outstanding performance red wise old con whose eye story told tim robbins andy dufresnce young banker wrongly convicted murdering wife lover adjust nightmare prison life among supporting cast impressed bob gunton biblespouting corrupt warden norton us andys financial expertise enrich james whitmore brook imprisoned fifty year terrified finally granted parole unable adjust life outside yearns back home ever knew prison interesting twist experience also red later movie freedom seem like prison accustomed regimentation life institutionwhile movie impressive engrossing way though weakness story bothered bit spoiler aheadi found difficult imagine prison guard state maine bringing tax return andy didnt seem like something would happened also struck unlikely letterwriting campaign one solitary prisoner even one lasted six year one letter week would convinced state fund improvement andy got prison library would rather expect letter would simply start discarded andys escape also bothered easy even though took twenty year keep suit spotless unwrinkled crawling dirty sewer mind moment leading discovery escape among dramatic movie end story also clearly telegraphed time beforefrankly speaking think shawshank redemption bit overrated imdb ranked second best movie time still good movie excellent portrayal andy survival human spirit even toughest time personally give,Positive
134,begin comment one beautiful haunting tragic yet slightly comical film creation film absolutely groundbreaking deserves place amongst great cinema history complete amazing cast wonderful soundtrack storyline leave mesmerised year first viewing film truly incrediblethe film focus man called andy dufresne intelligent banker accused murdering wife lover consequentially sentenced two life sentence shawshank prison andy soon befriends man named red man imprisoned murder run underground syndicate help friend get hold thing outside prisonandy manages help guard shawshank prison personal financial problem using knowledge banker unlikely friendship emerges soon prison life doesnt seem bleak andy andys journey life sentence grows friendship red soon discovers effect wall shawshank people prison series unexpected tragic eventsandys personality soon earns new friend begin change people fundamentally without knowing spread new lesson comically psychologically soon andy turn much intelligent man may realised firstas time go andy resolve make shawshank prison friendlier work relentlessly improve life prisoner guard continues work hard good others begin learn shocking truth true colour guard warden shawshank revelation come fore andy discovers information may prove innocent guy always claimed andys life take serious turn consequence dire everybody andys decision become unpredictablebased short book stephen king film hardly fault full beauty tragedy comedy haunting presence morgan freeman give possibly best performance ever given tim robbins excels tormented andy make film go history isnt amazing script wonderful acting film contains one beautiful soundtrack ever known written thomas newman many tune simplistic yet memorable perfectly reflect dilemma situation character film find inthis film afraid shock people subtle shift personality character situation comedy hope may suddenly change tragedy beyond may originally expected film true classic work art endlessly reexperiencable painful pleasure,Positive
135,shawshank redemption true masterpiece genius work cinematic excellence true testament human friendship determination quite possibly greatest film ever made clashing theme evilness goodness within prison system make film compelling satisfying story entail,Positive
136,rewatched movie recently son found movie quite unremarkable mostly rather primitive schematic sadistic guard crooked bos camaraderie fellow prisoner almost messianic story andy wrongly imprisoned former banker overcomes adversity end winning lottery sayand movie slowly go motion torment dispair opportunity hope revengeand kind theatrical feel quite slow pacing like already know brook yet take forever hang felt wayanother cringe worthy scene andy escape shed prison attire spread arm lift face rain almost funnyanother thing life prison despite sadistic guard corrupt bos look like kind summer camp like life almost great bit monotonous grit everyone clean shaven washed neatly dressed know like drama play rich student college drama clubi think movie popular viewer get trapped indignation injustice leveled andy root get rewarded happy ending feel good satisfying boring predictable time,Positive
137,tye movie perfect acting story character good even make cry,Positive
138,totally adored concept hope film love director portrays shawshank tyrant corrupt murderer thats pretty much serve ground escape andy morgan freeman got talent love guy may greatest force reckoned set loved gave story flavor description character perception life lonely jail cell shawshank know there lot say movie good true especially ending way brought tear eye moving scene overall superb thanks stephen king putting form alphabet first place im starting regret reading novel kudos director even coming idea movie,Positive
139,watching shawshank redemption first time really didnt think much thought probably wrongfully earned spot imdb couldnt better godfather example movie cool like could imagine fashion conscious moviehipsters discussing movie glass napa valley chardonnay arguing liked shawshank redemption movie ingmar bergman strongest metaphorical message get ideaim sure everything say way movie made said better one comment said reason im posting review shawshank redemption isnt hardcore movie freak wet dream brilliantly written fluent acting seen show fantastic directing skill frank darabont really dont expert film theory appreciate appeal many different group people many different human feeling time weakness came idea jail movie compatible female population idea movie lifelong friendship two men compatible male population actually reason shawshank redemption loved nearly offer something everyonein opinion rating something bit absolute anything since probably best movie remember seeing first think ill let slide time,Positive
140,best movie ever seen way feel prison life restricted certain thing sometimes get frustrated feel runaway place could feel free hope dream sometime movie reminds feeling much love andy dufresne movie although critic say tim robbins didnt enough express character personal opinion made rolei go say said important thing feel whenever watch iti glad visit imdb never heard year ago saw ranking decided watch immediately movie even come close citizen kane past one hope freedomi give,Positive
141,thing perfect movie course practical reason one can not award film ten star ten endless stream new work demanding scrutiny id like also start quoting another well known film sum opinion nicely many way work critic easy risk little thrive negative criticism amusing write read harsh truth matter average piece junk probably valuable criticism designating could closer truth come wire critic risk everything dishing praise fear ridiculed themselvesthere danger shawshank redemption eternal masterpiece timeless inspiring avoid clichéd possible shawshank redemption beautiful masterfully acted right amount tenderness tale moral courage everlasting fight justice film genre one tell happen course watch film time genuinely surprised maybe even shed tear persistence unquenchable thirst human spirit one leap joy watching incredible film knowledge evil sens word never triumphturning eye technical side thing moment discern one single badly executed shot shawshank redemption well written said brilliantly acted character could flat allowed develop flourish film even better film grab attention right word go agitated shot andy looking like going kill wife soundtrack well isnt much say except music film beautiful ever heardthis deeply satisfying wonderful brilliant fantastic soulful cinematic work watch havent seen must agree excellent film eternal classic course film people prefer strongly attracted subway film luc besson pure facial objective value cinema get much better,Positive
142,great music superb actor pity forrest gump consider another masterpiece went year got publicity well oscar fairthe reason rented movie two year ago morgan freeman tim robbins big surprise see one best film ever made seen time since story courage perseverance true friendship hope redemptionits movie time memorable one everybody see yoú wont regret,Positive
143,tell truth speechless young movie fanatic fact film came year born therefore used film incredible special effect edgeofyourseat action et cetera film none yet appeal closely way frank darabont us narration red drive story beauty soundtrack used note harmonica used red finding letter close end entire film beginning end action sound beacon hope judgement redemption cast perfect morgan freemanred actually brings refreshing feel tale exactly movie movie highly recommended every viewer matter tasteor age judgement excludes use language violence cant say deserved position cant say movie movie one might well,Positive
144,liked film sum pretty well film good aspect good best film time usually dont say think shawshank redemption overrated dont want take away performance story score really good guess opinion differ thats fine personally fact knew film highest rated film time unfortunately hurt experience expecting lot end didnt get still good watch nonetheless,Positive
145,shawshank redemption one infamous movie never stop hearing crazed movie fanatic ive entire top list going back fourth struggling lord ring retrun king see movie see fuss aboutbased stephen king novel shawshank redemption terrific adaptation book acting mean dont get started tim robbins morgan freeman perfectly casted fit well together mean title summary felt could relate reminded much friendship best friend close would anything even wait end time hang talk againi felt story also brought major important point convict many year prison pretty much good job question decent place family might disown everything knew prison sort like shoved lake ocean youre drowning life preserver movie actually got thinking thatalso final notion court system also dealing tim robbins life keep claiming innocence one listen believe felt awful know lot men woman prison innocent paying people crimesi would highly recommend shawshank redemption believe better lord ring return king watch understand movie important watched everyone get movie bring,Positive
146,brilliant film acting superb tim robbins morgan freeman always script amazing along directing film one best film ever made due original reason original prison film heart make care criminal score also goodits enthralling piece cinema amazing id recommend film anyone due everyone relating people like film sympathetic towards criminal look clockwork orange,Positive
147,film award winning achievement loved fantastic brilliant together drama crime movie really really amazing must see everyonethe story guy called andy dufresne sent prison murder committed wife andy go prison hard time friend time shaw shank prison brilliant ac tining tim robbins morgan freeman clancy brown throughout film tim robbins andy morgan freeman red clancy brown guardoverall whole truth told u love film dont spoil self brilliant story friendship survival must get dvd trust brilliant,Positive
148,movie total piece manipulation redeeming feature though morgan freeman narration pure art guy act mouth piece fiction merit see many people would enjoy classed one best movie time really cmon certainly portrayal brutality guard time would say fairly realisticthe one part story old timer get released ring true many people like totally institutionalized skill survive outside without good support network placethis movie people like everything laid perfectly doesnt require thinking personally like bit depth realityi dont want put people seeing watched flaw outweigh redeeming feature,Positive
149,question ask wasnt well made movie date think make movie specialto make movie special really need look different way phenomenal movie many characteristic one shawshank redemption little bit extra yes performance brilliant yes pace movie well thought many movie great reason thatwhat different movie creator afraid go outside line mean look movie usually go ok good bad back good top nothing really deviate main story line nowheredays keep run time low possible shawshank redemption made would significantly shorter production company want keep run time low possible say masterpiece long isnt sits minute scene might see unnecessary untrained eye let look massive deviation movie release brook hatlen scene extremely important entire movie truly show person fall routine become institutionalized give u idea real life open eye something sad thisthe shawshank redemption throughout fantastic character development put movie really feel character feeling awful prison environment real life didnt follow stereotype educated u really going world stick theme real life two noncriminals antagonist throughout show u people real world abuse power one live cruel world frank darabont hit nail head timeless movie classic,Neutral
150,shawshank redemption league casablanca movie watch catching different nuance time bringing life experience time watch tim robbins give performance career movie morgan freeman oscar shame wait million dollar baby many twist turn defy anyone watch ending without tear running face fact entire last third movie filled marvelous scene drawback movie shade long meaning often butchered shown commercial tv rent better yet buy get full thrust definitely personal top,Positive
151,last week seen lord ring return king feel one best movie ever made especially hard entertain folk movie seat time couldnt understand minority voice could like filmthat decided sit write feel film year since come attempted watch time three time slept finally took extra caffine coke gave twirl twice sorry didnt warm film robbins freeman acting good guess story wasnt original surprising didnt care guy anyone else prison guilty well innocent get concept sometimes youre released serving time sometimes youre make friendsfine dunno kinda reminds year high school college guess dont care folk matter together got didnt care wondered move thanks sharing snoozefirst thought might big prison entertainment fan remembered one favorite film birdman alcatraz thought much film owes homage really fell love green mile king level actually sat season hbos oz gritty scary say least give everything chance fact several chance sometimes thing appeal people one youre wondering reservoir dog anotherthe point isas going write awful thing folk didnt like lord ring return king find shawshank redemption able stand moment minorityall thing wonderful peopleand thatsa good thing,Positive
152,good movie surely right among finest prisonconcentration camp depiction almost always least competent quality mind compare genre submarinefilms confined space lot guy constant threat therefore drama tension easily created without much sweat ha ha also obvious problem providing something new situation character presented eternity rest case movie question follows despotic warden sadistic guard evil fellow inmate want killrape also trusted friend along one old timer inevitable sad ending finally escape main protagonist course convicted first place based false accusation least something notsobad crimeso whats special come maybe trick worked stephen king hitpenitentiarydrama green mile ie manipulative scene quickly identified cardboard character maybe majority moviegoer consider theyre watching face value never mind ive seen beforefeel maybe havent lousy memory yes admit im something cynic also believe im able spot truly honest effort see one probably thats reason consider grandpa mervyn leroys im fugitive chain gang alltime best prisonflick filmsnobbery hope youll agree see true classic,Positive
153,best movie robbed acclaim dont care anyone say forest gump movie better almost every category except music maybe tied movie yeartim robbins acting good better hank always problem simpleton character getting acting nod white trash ghetto thug character think u gumpy slow hick voice ala cleatus slacked jawed yokel simpsonsi cant quite remember many oscar gump stole gem movie movie blow away almost every level quite passion robbins portrays surpassed one except maybe freeman sidekick characterthis movie course short story made movie king think delivers truly believe best movie probably one top movie time,Positive
154,id never heard shawshank redemption tuned minute one satellite channel sometime around soit mesmerized last minute astounded twist musical score final scene amazingi recall search pregoogle day probably alta vista find anyone else ever heard film found turn whole lot people discovered film sleeper dvd cable satellitemy favorite movie around time seen theater pulp fiction heat didnt see forrest gump around didnt care much good year filmsgiven comment past half year ive gone back suppose shawshank fall film seems trend toward making hey good lousy overrated etcwhatever great film happened see late one night satellite system thought first realize great took several year spot high rating imdb read become cult classic favoriteditto big lebowski thought fan subject festival midnight watching sort like rocky horror saw rocky horror world science fiction convention kansa city thought entertainingfor last minute best one twist another seamlessly done compelling musical score unforgettable,Positive
155,spoiler movie well sixth sense citizen kane spiteshawshank redemption one movie ooze give oscar pleeeeeease know type like dance wolf oversentimental overlong surprising movie high imdb ranking considering black white prisonersgood prisonkeepersevil movie rehashing whats hashed hashed many timesthe story concern apparentlywronglyconvicted banker andy dufresne tim robbins sentenced life shawshank prison creepiest state maine murdering wife lover main friend shawshank wily oldtimeprisoner named red morgan freeman nobody deny morgan freeman one greatest actor ever im going tim robbins also give performance one wouldnt guess watching say nothing lose nevertheless better movie supporting cast excellent role incredibly onedimensional okay thats good come bad uglyearly film red double narrator tell u although hed like tell u andy wasnt gangraped fellow inmate bad inmate way get sent away leaf good one cant cause thatd fairytale fairytale shawshank wrong whole movie fairytale albeit without excitement fastpace onewe get character completely good saint two main prisoner one prison guard warden seem variation evil stepmother cinderella evil stepmother snow white heck theyre evil intramural baseball team name marauder gee wonder people get hidden messagethe story twoandahalf hour sadism slowpaced sadism mind hour philosophical jabbering frankly far inferior philosophy class college youre sort thing hope good oh god revelation tell honestly ive heard song depth movie half hour endingits hard talk fault movie without giving away ending ending one main one good movie ending make think least somewhat open interpretation andor sequel one although counted least five six point movie could ended leaving room thought follows bitter predictable end saying know viewer idiot better let think anything even true quite insulting whats ending incredibly predictable could told title movie mean imagine sixth sense called dead psychologist citizen kane called sled sorry imdb censorship guy know make job harder cant think way explain otherwiseand havent even mentioned worst part movie incredibly long boring movie slow move pace alright movie something always happening single thing interest like hour hour hour hour hour okay thats bit exaggeration stillanother thing movie alreadymentioned assumed selfimportance irritating least long boring unoriginal version cinderella would somebody traded woman character swearing rape police brutality mean frankly charles perrot beat four century thats close time record unoriginality,Neutral
156,movie simply get better thisinspiring captivating intense funny time tragic time interesting thrillingevery aspect movie perfection acting story dialog production setting cinematography etc perfectthis film truly flawlessi could describe movie fun would describe unparalleled excellence stupid artsy sense plain simple story telling finestif havent seen movie absolutely need watch right fantastic wish could give higher rating star,Positive
157,subtlety intelligence gorgeous cinematography often overlooked film one finest film ever made robbins freeman brilliant rest cast flow storyline poise cadence flawless story based short work stephen king screenplay sculpted perfectly gently fulllength film frank darabont powerful story one man journey punishment deserve redemption soul lift heart viewer reminds u hope good thing maybe best thing gentle supremely smart,Positive
158,friend mine listed shawshank redemption one time favorite movie brought curiosity shawshank redemption even thought typo next day went brought home year anniversary dvd without knowing going spend worthwhile half hour life front tv melodrama doesnt kill righti dont know write good movie review guess telling feel may better remembered cry time astounded plot twist moment two ending sitting alone inert onceinalifetime beauty shawshank recall scene andy locked room turned music con stood paralyzed ground listening magical tune like song hope never heard beforeshawshank feel good movie lifechanging experience endless struggle life harshness unfairness true friend stand forever simple yet hard convey message could handled subtly thisshawshank every oscar category nominated struggling unfairness time proved monumental magnitudeshawshank lesson life learn minute,Positive
159,saw last night shawshank redemption seen seen fifty time never ever get tiring stephen king wrote story becomes one great classic movie time shawshank story wronged man overcomes injustice life love prison remain true person always andy although solitary enigmatic person find injustice throw quagmire human refuse refuse find piece humanity let know hope red one human upon realizing fall hell prison obscurity andy release escape injustice current human existence use word existence whole movie work existential survival movie one miss,Positive
160,cinematic masterpiece delf profound human experience hidden within darkness prison tim robbins portrayal andy dufresne morgan freeman captivating performance red create indelible bond transcends boundary confined world director frank darabont weave poignant tale hope friendship pursuit redemption backdrop injustice despair film visual splendor evocative soundtrack enhance emotional depth story leaving audience inspired deeply moved finding beauty shadow shawshank redemption reminds u even bleakest circumstance human spirit find solace beauty making enduring cherished classic,Neutral
161,take audience unforgettable cinematic journey exploring indomitable human spirit pursuit redemption tim robbins delivers compelling performance andy dufresne man wrongfully convicted sentenced life shawshank state penitentiary unlikely friendship red portrayed brilliantly morgan freeman film delf deep complexity human connection transformative power hope frank darabonts directorial finesse brings stephen king novella life painting poignant portrait resilience amidst harsh unforgiving prison environment thoughtprovoking theme stellar performance emotionally resonant storytelling finding redemption shawshank journey continues captivate audience earning place one cinema beloved timeless classic,Positive
162,timeless tale hope resilience remains deeply impactful day set within confines shawshank state penitentiary film intricately weave narrative human spirit triumph adversity enduring power hope tim robbins morgan freeman deliver captivating performance infusing life character making journey truly unforgettable skilled direction frank darabont film storytelling unfolds seamlessly drawing audience world despair redemption exploration friendship injustice pursuit freedom shawshank redemption resonates audience worldwide leaving profound emotional impression lingers long credit roll,Positive
